stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.142895,1,57254,-122.602681,7325,https://translink.ca/schedules-and-maps/stop/57254/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57254,,,Southbound Glover Rd @ University Dr,0,BUS ZN
49.126248,2,57255,-122.625338,7326,https://translink.ca/schedules-and-maps/stop/57255/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57255,,,Southbound Glover Rd @ Crush Cres,0,BUS ZN
49.17074,1,57249,-122.586308,7320,https://translink.ca/schedules-and-maps/stop/57249/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57249,,,Eastbound 96 Ave @ Trattle St,0,BUS ZN
49.168656,1,57250,-122.580881,7321,https://translink.ca/schedules-and-maps/stop/57250/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57250,,,Eastbound 96 Ave @ Glover Rd,0,BUS ZN
49.166061,1,57251,-122.582568,7322,https://translink.ca/schedules-and-maps/stop/57251/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57251,,,Southbound Glover Rd @ St. Andrews Ave,0,BUS ZN
49.162066,1,57252,-122.586721,7323,https://translink.ca/schedules-and-maps/stop/57252/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57252,,,Southbound Glover Rd @ 88 Ave,0,BUS ZN
49.016476,1,58648,-123.079556,10085,https://translink.ca/schedules-and-maps/stop/58648/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=58648,,,Northbound 52 St @ 7A Ave,0,BUS ZN
49.1101,1,57257,-122.648451,7328,https://translink.ca/schedules-and-maps/stop/57257/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57257,,,Southbound Glover Rd @ 5900 Block,0,BUS ZN
49.277789,1,,-122.845487,MCSET,,99928,,Moody Centre Station Entrance,2,
49.305231,1,60687,-123.028334,12954,https://translink.ca/schedules-and-maps/stop/60687/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=60687,,,Phibbs Exchange @ Bay 10,0,BUS ZN
